"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"83","FCO Dijon ","FCO Dijon","34","34","23,6","9","19,95 Mill. €","587 Th. €",2013
"84","ES Troyes AC  ","ES Troyes AC","33","33","25,2","11","16,20 Mill. €","491 Th. €",2013
"85","RC Lens ","RC Lens","30","30","24,1","15","15,95 Mill. €","532 Th. €",2013
"86","AC Le Havre ","AC Le Havre","32","32","22,8","11","14,55 Mill. €","455 Th. €",2013
"87","AJ Auxerre ","AJ Auxerre","31","31","23,1","14","13,10 Mill. €","423 Th. €",2013
"88","SM Caen ","SM Caen","28","28","25,1","12","12,60 Mill. €","450 Th. €",2013
"89","SCO Angers ","SCO Angers","33","33","25,0","17","11,40 Mill. €","345 Th. €",2013
"90","Athlétic Club Arlésien ","Athlétic Club Arlésien","29","29","23,9","11","10,55 Mill. €","364 Th. €",2013
"91","FC Metz  ","FC Metz","35","35","22,8","21","10,45 Mill. €","299 Th. €",2013
"92","Tours FC ","Tours FC","29","29","23,6","9","10,15 Mill. €","350 Th. €",2013
"93","LB Châteauroux ","LB Châteauroux","36","36","23,1","14","9,70 Mill. €","269 Th. €",2013
"94","FC Istres Ouest Provence  ","FC Istres Ouest Provence ","35","35","24,2","14","9,35 Mill. €","267 Th. €",2013
"95","Stade Laval ","Stade Laval","29","29","25,2","12","8,50 Mill. €","293 Th. €",2013
