"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"161","FC Augsburg ","FC Augsburg","33","33","24,6","16","54,38 Mill. €","1,65 Mill. €",2017
"162","Hannover 96  ","Hannover 96","30","30","24,9","13","48,80 Mill. €","1,63 Mill. €",2017
"163","Bayern Munich ","Bayern Munich","32","32","24,7","15","835,55 Mill. €","26,11 Mill. €",2018
"164","Borussia Dortmund ","Borussia Dortmund","34","34","23,4","19","376,80 Mill. €","11,08 Mill. €",2018
"165","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","31","31","23,6","16","359,35 Mill. €","11,59 Mill. €",2018
"166","RB Leipzig ","RB Leipzig","34","34","21,6","21","314,45 Mill. €","9,25 Mill. €",2018
"167","FC Schalke 04 ","FC Schalke 04","39","39","24,1","24","243,90 Mill. €","6,25 Mill. €",2018
"168","Borussia Mönchengladbach ","Borussia Mönchengladbach","30","30","24,2","17","191,53 Mill. €","6,38 Mill. €",2018
"169","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","38","38","23,5","21","188,63 Mill. €","4,96 Mill. €",2018
"170","VfB Stuttgart ","VfB Stuttgart","34","34","23,9","17","159,45 Mill. €","4,69 Mill. €",2018
"171","VfL Wolfsburg ","VfL Wolfsburg","36","36","24,1","21","145,53 Mill. €","4,04 Mill. €",2018
"172","Eintracht Frankfurt ","Eintracht Frankfurt","47","47","23,8","29","139,50 Mill. €","2,97 Mill. €",2018
"173","Hertha BSC ","Hertha BSC","36","36","23,5","17","124,60 Mill. €","3,46 Mill. €",2018
"174","SV Werder Bremen ","SV Werder Bremen","33","33","24,8","18","110,85 Mill. €","3,36 Mill. €",2018
"175","FC Augsburg ","FC Augsburg","40","40","23,9","19","100,95 Mill. €","2,52 Mill. €",2018
"176","Hannover 96 ","Hannover 96","37","37","24,7","18","98,28 Mill. €","2,66 Mill. €",2018
"177","SC Freiburg ","SC Freiburg","34","34","24,0","9","94,28 Mill. €","2,77 Mill. €",2018
"178","1.FSV Mainz 05 ","1.FSV Mainz 05","35","35","23,8","19","86,60 Mill. €","2,47 Mill. €",2018
"179","Fortuna Düsseldorf  ","Fortuna Düsseldorf","34","34","25,3","16","47,43 Mill. €","1,39 Mill. €",2018
"180","1.FC Nuremberg  ","1.FC Nuremberg","29","29","24,2","11","42,88 Mill. €","1,48 Mill. €",2018
"181","Bayern Munich ","Bayern Munich","26","26","25,1","14","885,40 Mill. €","34,05 Mill. €",2019
"182","Borussia Dortmund ","Borussia Dortmund","28","28","25,0","15","642,10 Mill. €","22,93 Mill. €",2019
"183","RB Leipzig ","RB Leipzig","36","36","22,6","23","522,10 Mill. €","14,50 Mill. €",2019
"184","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","24","24","25,9","14","413,10 Mill. €","17,21 Mill. €",2019
"185","Borussia Mönchengladbach ","Borussia Mönchengladbach","30","30","26,3","18","261,50 Mill. €","8,72 Mill. €",2019
"186","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","30","30","26,7","19","249,50 Mill. €","8,32 Mill. €",2019
"187","VfL Wolfsburg ","VfL Wolfsburg","31","31","25,4","20","230,70 Mill. €","7,44 Mill. €",2019
"188","Hertha BSC ","Hertha BSC","33","33","25,0","15","215,20 Mill. €","6,52 Mill. €",2019
"189","FC Schalke 04 ","FC Schalke 04","27","27","24,9","18","207,98 Mill. €","7,70 Mill. €",2019
"190","Eintracht Frankfurt ","Eintracht Frankfurt","33","33","26,6","20","207,55 Mill. €","6,29 Mill. €",2019
"191","SV Werder Bremen ","SV Werder Bremen","28","28","26,6","17","160,48 Mill. €","5,73 Mill. €",2019
"192","1.FSV Mainz 05 ","1.FSV Mainz 05","30","30","23,8","16","147,35 Mill. €","4,91 Mill. €",2019
"193","FC Augsburg ","FC Augsburg","35","35","25,6","20","125,05 Mill. €","3,57 Mill. €",2019
"194","SC Freiburg ","SC Freiburg","30","30","25,6","9","113,98 Mill. €","3,80 Mill. €",2019
"195","1. FC Köln  ","1. FC Köln","30","30","25,3","13","97,10 Mill. €","3,24 Mill. €",2019
"196","Fortuna Düsseldorf ","Fortuna Düsseldorf","33","33","25,9","14","81,65 Mill. €","2,47 Mill. €",2019
"197","1.FC Union Berlin  ","1.FC Union Berlin","33","33","25,8","12","35,58 Mill. €","1,08 Mill. €",2019
"198","SC Paderborn 07  ","SC Paderborn 07","28","28","26,0","8","23,40 Mill. €","836 Th. €",2019
